production_id,time_id,site_id,material_id,employee_id,shift_id,produced_volume,unit_cost,date,day,month,year,day_name,site_name,region,latitude,longitude,material_name,material_type,unit_of_measure,quantity,employee_name,position,department,status,hire_date,shift_name,start_time,end_time
11,1083,4,1,1,1,430,325,2028-04-17,17,4,2028,Monday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,Gavin Ross,Operator,Mining,Inactive,2015-06-17,Morning,06:00:00,14:00:00
12,511,2,4,10,3,378,432,2026-09-23,23,9,2026,Wednesday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Copper,Metal,Ton,3391,Robert Blair,Technician,Processing,Active,2022-05-14,Night,22:00:00,06:00:00
13,700,3,5,10,3,64,202,2027-03-31,31,3,2027,Wednesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Robert Blair,Technician,Processing,Active,2022-05-14,Night,22:00:00,06:00:00
14,976,2,1,4,1,53,205,2028-01-01,1,1,2028,Saturday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Coal,Ore,Ton,2685,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Morning,06:00:00,14:00:00
15,190,2,1,4,1,240,464,2025-11-06,6,11,2025,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Coal,Ore,Ton,2685,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Morning,06:00:00,14:00:00
16,958,3,4,7,2,217,467,2027-12-14,14,12,2027,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Copper,Metal,Ton,3391,Zachary Nielsen,Operator,Logistics,Active,2022-07-11,Afternoon,14:00:00,22:00:00
17,687,5,4,10,1,58,157,2027-03-18,18,3,2027,Thursday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Robert Blair,Technician,Processing,Active,2022-05-14,Morning,06:00:00,14:00:00
18,958,5,3,9,1,158,177,2027-12-14,14,12,2027,Tuesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Gold,Metal,Ton,1769,James Johnson,Technician,Mining,Inactive,2021-06-11,Morning,06:00:00,14:00:00
19,563,2,4,9,3,186,174,2026-11-14,14,11,2026,Saturday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Copper,Metal,Ton,3391,James Johnson,Technician,Mining,Inactive,2021-06-11,Night,22:00:00,06:00:00
20,832,3,3,5,1,203,141,2027-08-10,10,8,2027,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Morning,06:00:00,14:00:00
21,647,3,1,10,3,437,423,2027-02-06,6,2,2027,Saturday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Coal,Ore,Ton,2685,Robert Blair,Technician,Processing,Active,2022-05-14,Night,22:00:00,06:00:00
22,21,4,2,1,1,258,280,2025-05-21,21,5,2025,Wednesday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,Gavin Ross,Operator,Mining,Inactive,2015-06-17,Morning,06:00:00,14:00:00
23,841,5,5,1,2,321,132,2027-08-19,19,8,2027,Thursday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,Gavin Ross,Operator,Mining,Inactive,2015-06-17,Afternoon,14:00:00,22:00:00
24,167,1,1,6,1,192,170,2025-10-14,14,10,2025,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,Randall Howard,Operator,Logistics,Inactive,2019-05-11,Morning,06:00:00,14:00:00
25,388,5,4,2,1,148,155,2026-05-23,23,5,2026,Saturday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Kevin Ramos,Technician,Logistics,Active,2016-12-09,Morning,06:00:00,14:00:00
26,601,5,5,8,1,426,204,2026-12-22,22,12,2026,Tuesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,David Jackson,Operator,Processing,Active,2021-07-09,Morning,06:00:00,14:00:00
27,316,4,2,9,3,357,299,2026-03-12,12,3,2026,Thursday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,James Johnson,Technician,Mining,Inactive,2021-06-11,Night,22:00:00,06:00:00
28,14,1,2,4,2,118,200,2025-05-14,14,5,2025,Wednesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Iron,Metal,Ton,4380,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Afternoon,14:00:00,22:00:00
29,242,4,3,5,1,296,355,2025-12-28,28,12,2025,Sunday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Gold,Metal,Ton,1769,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Morning,06:00:00,14:00:00
30,777,1,5,8,3,310,406,2027-06-16,16,6,2027,Wednesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Nickel,Metal,Ton,2515,David Jackson,Operator,Processing,Active,2021-07-09,Night,22:00:00,06:00:00
31,565,2,3,3,2,325,173,2026-11-16,16,11,2026,Monday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Gold,Metal,Ton,1769,Karen Mack,Supervisor,Mining,Active,2022-12-08,Afternoon,14:00:00,22:00:00
32,898,1,1,5,3,128,270,2027-10-15,15,10,2027,Friday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Night,22:00:00,06:00:00
33,92,4,5,3,3,195,476,2025-07-31,31,7,2025,Thursday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Nickel,Metal,Ton,2515,Karen Mack,Supervisor,Mining,Active,2022-12-08,Night,22:00:00,06:00:00
34,956,5,1,10,2,160,242,2027-12-12,12,12,2027,Sunday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,Robert Blair,Technician,Processing,Active,2022-05-14,Afternoon,14:00:00,22:00:00
35,509,1,3,3,1,307,265,2026-09-21,21,9,2026,Monday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,Karen Mack,Supervisor,Mining,Active,2022-12-08,Morning,06:00:00,14:00:00
36,776,1,5,3,3,142,498,2027-06-15,15,6,2027,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Nickel,Metal,Ton,2515,Karen Mack,Supervisor,Mining,Active,2022-12-08,Night,22:00:00,06:00:00
37,35,3,3,7,3,62,360,2025-06-04,4,6,2025,Wednesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Zachary Nielsen,Operator,Logistics,Active,2022-07-11,Night,22:00:00,06:00:00
38,206,5,5,7,1,309,320,2025-11-22,22,11,2025,Saturday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,Zachary Nielsen,Operator,Logistics,Active,2022-07-11,Morning,06:00:00,14:00:00
39,1105,2,3,7,1,475,182,2028-05-09,9,5,2028,Tuesday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Gold,Metal,Ton,1769,Zachary Nielsen,Operator,Logistics,Active,2022-07-11,Morning,06:00:00,14:00:00
40,1026,4,2,10,2,158,281,2028-02-20,20,2,2028,Sunday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,Robert Blair,Technician,Processing,Active,2022-05-14,Afternoon,14:00:00,22:00:00
41,1022,2,3,8,2,379,406,2028-02-16,16,2,2028,Wednesday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Gold,Metal,Ton,1769,David Jackson,Operator,Processing,Active,2021-07-09,Afternoon,14:00:00,22:00:00
42,566,5,2,5,2,238,109,2026-11-17,17,11,2026,Tuesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Iron,Metal,Ton,4380,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Afternoon,14:00:00,22:00:00
43,1130,1,3,5,1,144,495,2028-06-03,3,6,2028,Saturday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Morning,06:00:00,14:00:00
44,703,1,5,4,3,154,103,2027-04-03,3,4,2027,Saturday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Nickel,Metal,Ton,2515,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Night,22:00:00,06:00:00
45,402,5,5,7,3,57,450,2026-06-06,6,6,2026,Saturday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,Zachary Nielsen,Operator,Logistics,Active,2022-07-11,Night,22:00:00,06:00:00
46,730,1,5,10,2,116,435,2027-04-30,30,4,2027,Friday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Nickel,Metal,Ton,2515,Robert Blair,Technician,Processing,Active,2022-05-14,Afternoon,14:00:00,22:00:00
47,162,1,4,4,1,240,391,2025-10-09,9,10,2025,Thursday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Morning,06:00:00,14:00:00
48,202,1,1,2,3,415,380,2025-11-18,18,11,2025,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,Kevin Ramos,Technician,Logistics,Active,2016-12-09,Night,22:00:00,06:00:00
49,996,4,5,4,2,305,314,2028-01-21,21,1,2028,Friday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Nickel,Metal,Ton,2515,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Afternoon,14:00:00,22:00:00
50,270,4,2,8,3,58,197,2026-01-25,25,1,2026,Sunday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,David Jackson,Operator,Processing,Active,2021-07-09,Night,22:00:00,06:00:00
51,816,3,5,9,3,166,200,2027-07-25,25,7,2027,Sunday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,James Johnson,Technician,Mining,Inactive,2021-06-11,Night,22:00:00,06:00:00
52,456,2,4,3,1,316,108,2026-07-30,30,7,2026,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Copper,Metal,Ton,3391,Karen Mack,Supervisor,Mining,Active,2022-12-08,Morning,06:00:00,14:00:00
53,1017,5,2,7,1,148,160,2028-02-11,11,2,2028,Friday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Iron,Metal,Ton,4380,Zachary Nielsen,Operator,Logistics,Active,2022-07-11,Morning,06:00:00,14:00:00
54,296,5,4,9,3,347,408,2026-02-20,20,2,2026,Friday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,James Johnson,Technician,Mining,Inactive,2021-06-11,Night,22:00:00,06:00:00
55,720,5,2,4,2,446,245,2027-04-20,20,4,2027,Tuesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Iron,Metal,Ton,4380,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Afternoon,14:00:00,22:00:00
56,338,3,3,10,1,213,162,2026-04-03,3,4,2026,Friday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Robert Blair,Technician,Processing,Active,2022-05-14,Morning,06:00:00,14:00:00
57,879,4,1,3,3,425,220,2027-09-26,26,9,2027,Sunday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,Karen Mack,Supervisor,Mining,Active,2022-12-08,Night,22:00:00,06:00:00
58,1077,3,1,5,1,190,325,2028-04-11,11,4,2028,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Coal,Ore,Ton,2685,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Morning,06:00:00,14:00:00
59,792,5,4,1,1,317,204,2027-07-01,1,7,2027,Thursday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Gavin Ross,Operator,Mining,Inactive,2015-06-17,Morning,06:00:00,14:00:00
60,217,2,1,3,1,86,359,2025-12-03,3,12,2025,Wednesday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Coal,Ore,Ton,2685,Karen Mack,Supervisor,Mining,Active,2022-12-08,Morning,06:00:00,14:00:00
61,764,1,4,8,3,123,448,2027-06-03,3,6,2027,Thursday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,David Jackson,Operator,Processing,Active,2021-07-09,Night,22:00:00,06:00:00
62,188,4,4,8,2,122,354,2025-11-04,4,11,2025,Tuesday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,David Jackson,Operator,Processing,Active,2021-07-09,Afternoon,14:00:00,22:00:00
63,380,4,4,4,2,357,306,2026-05-15,15,5,2026,Friday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Afternoon,14:00:00,22:00:00
64,493,3,1,2,2,248,127,2026-09-05,5,9,2026,Saturday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Coal,Ore,Ton,2685,Kevin Ramos,Technician,Logistics,Active,2016-12-09,Afternoon,14:00:00,22:00:00
65,1065,4,4,8,1,179,269,2028-03-30,30,3,2028,Thursday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,David Jackson,Operator,Processing,Active,2021-07-09,Morning,06:00:00,14:00:00
66,15,5,1,8,3,295,435,2025-05-15,15,5,2025,Thursday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,David Jackson,Operator,Processing,Active,2021-07-09,Night,22:00:00,06:00:00
67,65,5,4,10,1,361,175,2025-07-04,4,7,2025,Friday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Robert Blair,Technician,Processing,Active,2022-05-14,Morning,06:00:00,14:00:00
68,521,3,5,4,2,109,215,2026-10-03,3,10,2026,Saturday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Afternoon,14:00:00,22:00:00
69,648,5,4,3,2,328,168,2027-02-07,7,2,2027,Sunday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Karen Mack,Supervisor,Mining,Active,2022-12-08,Afternoon,14:00:00,22:00:00
70,1087,2,2,2,3,152,453,2028-04-21,21,4,2028,Friday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Iron,Metal,Ton,4380,Kevin Ramos,Technician,Logistics,Active,2016-12-09,Night,22:00:00,06:00:00
71,593,3,4,9,1,345,333,2026-12-14,14,12,2026,Monday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Copper,Metal,Ton,3391,James Johnson,Technician,Mining,Inactive,2021-06-11,Morning,06:00:00,14:00:00
72,392,2,3,1,2,369,100,2026-05-27,27,5,2026,Wednesday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Gold,Metal,Ton,1769,Gavin Ross,Operator,Mining,Inactive,2015-06-17,Afternoon,14:00:00,22:00:00
73,419,1,4,7,3,390,266,2026-06-23,23,6,2026,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Zachary Nielsen,Operator,Logistics,Active,2022-07-11,Night,22:00:00,06:00:00
74,289,2,2,5,1,200,451,2026-02-13,13,2,2026,Friday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Iron,Metal,Ton,4380,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Morning,06:00:00,14:00:00
75,379,1,2,8,1,206,317,2026-05-14,14,5,2026,Thursday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Iron,Metal,Ton,4380,David Jackson,Operator,Processing,Active,2021-07-09,Morning,06:00:00,14:00:00
76,231,1,1,4,2,255,372,2025-12-17,17,12,2025,Wednesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Afternoon,14:00:00,22:00:00
77,1018,2,5,7,2,228,467,2028-02-12,12,2,2028,Saturday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Nickel,Metal,Ton,2515,Zachary Nielsen,Operator,Logistics,Active,2022-07-11,Afternoon,14:00:00,22:00:00
78,41,3,4,5,1,246,350,2025-06-10,10,6,2025,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Copper,Metal,Ton,3391,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Morning,06:00:00,14:00:00
79,1052,5,1,5,1,272,446,2028-03-17,17,3,2028,Friday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Morning,06:00:00,14:00:00
80,135,5,5,9,2,138,443,2025-09-12,12,9,2025,Friday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,James Johnson,Technician,Mining,Inactive,2021-06-11,Afternoon,14:00:00,22:00:00
81,201,1,4,9,1,336,273,2025-11-17,17,11,2025,Monday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,James Johnson,Technician,Mining,Inactive,2021-06-11,Morning,06:00:00,14:00:00
82,780,1,3,9,2,483,269,2027-06-19,19,6,2027,Saturday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,James Johnson,Technician,Mining,Inactive,2021-06-11,Afternoon,14:00:00,22:00:00
83,930,3,4,6,1,325,345,2027-11-16,16,11,2027,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Copper,Metal,Ton,3391,Randall Howard,Operator,Logistics,Inactive,2019-05-11,Morning,06:00:00,14:00:00
84,1057,4,2,6,2,285,189,2028-03-22,22,3,2028,Wednesday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,Randall Howard,Operator,Logistics,Inactive,2019-05-11,Afternoon,14:00:00,22:00:00
85,1072,2,2,5,3,232,148,2028-04-06,6,4,2028,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Iron,Metal,Ton,4380,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Night,22:00:00,06:00:00
86,503,1,3,9,2,258,393,2026-09-15,15,9,2026,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,James Johnson,Technician,Mining,Inactive,2021-06-11,Afternoon,14:00:00,22:00:00
87,407,5,1,10,2,179,249,2026-06-11,11,6,2026,Thursday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,Robert Blair,Technician,Processing,Active,2022-05-14,Afternoon,14:00:00,22:00:00
88,805,3,5,8,3,202,231,2027-07-14,14,7,2027,Wednesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,David Jackson,Operator,Processing,Active,2021-07-09,Night,22:00:00,06:00:00
89,99,2,4,7,1,62,158,2025-08-07,7,8,2025,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Copper,Metal,Ton,3391,Zachary Nielsen,Operator,Logistics,Active,2022-07-11,Morning,06:00:00,14:00:00
90,684,3,2,7,3,171,423,2027-03-15,15,3,2027,Monday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Iron,Metal,Ton,4380,Zachary Nielsen,Operator,Logistics,Active,2022-07-11,Night,22:00:00,06:00:00
91,726,2,1,6,2,408,298,2027-04-26,26,4,2027,Monday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Coal,Ore,Ton,2685,Randall Howard,Operator,Logistics,Inactive,2019-05-11,Afternoon,14:00:00,22:00:00
92,961,2,3,5,1,269,314,2027-12-17,17,12,2027,Friday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Gold,Metal,Ton,1769,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Morning,06:00:00,14:00:00
93,613,1,2,4,3,155,485,2027-01-03,3,1,2027,Sunday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Iron,Metal,Ton,4380,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Night,22:00:00,06:00:00
94,643,3,3,3,1,424,148,2027-02-02,2,2,2027,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Karen Mack,Supervisor,Mining,Active,2022-12-08,Morning,06:00:00,14:00:00
95,1029,3,4,3,1,119,331,2028-02-23,23,2,2028,Wednesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Copper,Metal,Ton,3391,Karen Mack,Supervisor,Mining,Active,2022-12-08,Morning,06:00:00,14:00:00
96,503,5,5,6,3,244,346,2026-09-15,15,9,2026,Tuesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,Randall Howard,Operator,Logistics,Inactive,2019-05-11,Night,22:00:00,06:00:00
97,767,5,2,4,1,235,481,2027-06-06,6,6,2027,Sunday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Iron,Metal,Ton,4380,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Morning,06:00:00,14:00:00
98,398,1,2,6,3,148,338,2026-06-02,2,6,2026,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Iron,Metal,Ton,4380,Randall Howard,Operator,Logistics,Inactive,2019-05-11,Night,22:00:00,06:00:00
99,871,1,4,3,2,131,466,2027-09-18,18,9,2027,Saturday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Karen Mack,Supervisor,Mining,Active,2022-12-08,Afternoon,14:00:00,22:00:00
100,795,4,1,4,1,124,267,2027-07-04,4,7,2027,Sunday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Morning,06:00:00,14:00:00
101,393,5,5,9,2,423,147,2026-05-28,28,5,2026,Thursday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,James Johnson,Technician,Mining,Inactive,2021-06-11,Afternoon,14:00:00,22:00:00
102,207,2,2,5,2,389,150,2025-11-23,23,11,2025,Sunday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Iron,Metal,Ton,4380,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Afternoon,14:00:00,22:00:00
103,1039,3,5,7,1,241,398,2028-03-04,4,3,2028,Saturday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Zachary Nielsen,Operator,Logistics,Active,2022-07-11,Morning,06:00:00,14:00:00
104,892,1,2,10,3,374,197,2027-10-09,9,10,2027,Saturday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Iron,Metal,Ton,4380,Robert Blair,Technician,Processing,Active,2022-05-14,Night,22:00:00,06:00:00
105,864,3,5,2,1,263,315,2027-09-11,11,9,2027,Saturday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Kevin Ramos,Technician,Logistics,Active,2016-12-09,Morning,06:00:00,14:00:00
106,743,3,3,5,2,364,276,2027-05-13,13,5,2027,Thursday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Afternoon,14:00:00,22:00:00
107,564,4,2,9,2,493,479,2026-11-15,15,11,2026,Sunday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,James Johnson,Technician,Mining,Inactive,2021-06-11,Afternoon,14:00:00,22:00:00
108,1021,5,5,3,3,431,179,2028-02-15,15,2,2028,Tuesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,Karen Mack,Supervisor,Mining,Active,2022-12-08,Night,22:00:00,06:00:00
109,96,1,1,9,1,416,284,2025-08-04,4,8,2025,Monday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,James Johnson,Technician,Mining,Inactive,2021-06-11,Morning,06:00:00,14:00:00
110,485,3,3,6,2,367,466,2026-08-28,28,8,2026,Friday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Randall Howard,Operator,Logistics,Inactive,2019-05-11,Afternoon,14:00:00,22:00:00
111,231,1,3,4,2,193,498,2025-12-17,17,12,2025,Wednesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Afternoon,14:00:00,22:00:00
112,749,2,1,7,2,433,126,2027-05-19,19,5,2027,Wednesday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Coal,Ore,Ton,2685,Zachary Nielsen,Operator,Logistics,Active,2022-07-11,Afternoon,14:00:00,22:00:00
